date,nav
2025-04-02,94746.7817
2025-04-03,94746.7817
2025-04-07,94746.7817
2025-04-08,94746.7817
2025-04-09,94746.7817
2025-04-10,94746.7817
2025-04-11,94746.7817
2025-04-14,94730.8511
2025-04-15,94730.8511
2025-04-16,95135.0111
2025-04-17,95673.8911
2025-04-18,95673.8911
2025-04-21,95539.1711
2025-04-22,95842.2911
2025-04-23,95370.7711
2025-04-24,95572.8511
2025-04-25,94831.8911
2025-04-28,93383.6511
2025-04-29,93253.6463
2025-04-30,93253.6463
2025-05-06,93253.6463
2025-05-07,93253.6463
2025-05-08,93253.6463
2025-05-09,93253.6463
2025-05-12,93253.6463
2025-05-13,93253.6463
2025-05-14,93253.6463
2025-05-15,93253.6463
2025-05-16,93253.6463
2025-05-19,93253.6463
2025-05-20,93253.6463
2025-05-21,93253.6463
2025-05-22,93253.6463
2025-05-23,93253.6463
2025-05-26,93253.6463
2025-05-27,93253.6463
2025-05-28,93253.6463
2025-05-29,93253.6463
2025-05-30,93253.6463
2025-06-03,93253.6463
2025-06-04,93253.6463
2025-06-05,93253.6463
2025-06-06,93253.6463
2025-06-09,93253.6463
2025-06-10,93253.6463
2025-06-11,93253.6463
2025-06-12,93253.6463
2025-06-13,93253.6463
2025-06-16,93253.6463
2025-06-17,93253.6463
2025-06-18,93253.6463
2025-06-19,93253.6463
2025-06-20,93253.6463
2025-06-23,93253.6463
2025-06-24,93253.6463
2025-06-25,93253.6463
2025-06-26,93253.6463
2025-06-27,93253.6463
2025-06-30,93225.6837
2025-07-01,92783.0037
2025-07-02,93225.6837
2025-07-03,93004.3437
2025-07-04,92561.6637
2025-07-07,93889.7037
2025-07-08,94037.2637
2025-07-09,94332.3837
2025-07-10,95660.4237
2025-07-11,95439.0837
2025-07-14,94406.1637
2025-07-15,93815.9237
2025-07-16,93520.8037
2025-07-17,93447.0237
2025-07-18,93447.0237
2025-07-21,93464.2882
2025-07-22,93464.2882
2025-07-23,93438.2251
2025-07-24,94029.0751
2025-07-25,94094.7251
2025-07-28,93963.4251
2025-07-29,94094.7251
2025-07-30,93372.5751
2025-07-31,92059.5751
2025-08-01,91879.1689
2025-08-04,91879.1689
2025-08-05,91879.1689
2025-08-06,91879.1689
2025-08-07,91879.1689
2025-08-08,91879.1689
2025-08-11,91879.1689
2025-08-12,91879.1689
2025-08-13,91851.9419
2025-08-14,91366.9819
2025-08-15,92406.1819
2025-08-18,91921.2219
2025-08-19,92129.0619
2025-08-20,92198.3419
2025-08-21,92129.0619
2025-08-22,92198.3419
2025-08-25,93999.6219
2025-08-26,93722.5019
2025-08-27,92475.4619
2025-08-28,92891.1419
2025-08-29,92891.1419
2025-09-01,92821.8619
2025-09-02,92475.4619
2025-09-03,91644.1019
2025-09-04,91382.6392
2025-09-05,91382.6392
2025-09-08,91382.6392
2025-09-09,91382.6392
2025-09-10,91359.9064
2025-09-11,91250.0864
2025-09-12,91799.1864
2025-09-15,92073.7364
2025-09-16,92567.9264
2025-09-17,92403.1964
2025-09-18,91250.0864
2025-09-19,91689.3664
2025-09-22,91469.7264
2025-09-23,90426.4364
2025-09-24,91140.2664
2025-09-25,90930.8397
2025-09-26,90930.8397
2025-09-29,90930.8397
2025-09-30,90911.3705
2025-10-09,90731.9305
2025-10-10,91090.8105
2025-10-13,90731.9305
2025-10-14,90687.0705
2025-10-15,90507.6305
2025-10-16,90193.6105
2025-10-17,89834.7305
2025-10-20,89797.9453
2025-10-21,89797.9453
2025-10-22,89797.9453
2025-10-23,89797.9453
2025-10-24,89797.9453
2025-10-27,89797.9453
2025-10-28,89797.9453
2025-10-29,89797.9453
2025-10-30,89797.9453
2025-10-31,89797.9453
2025-11-03,89797.9453
2025-11-04,89797.9453
2025-11-05,89797.9453
2025-11-06,89797.9453
2025-11-07,89797.9453
2025-11-10,89797.9453
2025-11-11,89797.9453
2025-11-12,89797.9453
2025-11-13,89797.9453
2025-11-14,89797.9453
2025-11-17,89797.9453
2025-11-18,89797.9453
2025-11-19,89797.9453
2025-11-20,89797.9453
2025-11-21,89797.9453
2025-11-24,89797.9453
2025-11-25,89797.9453
2025-11-26,89797.9453
2025-11-27,89797.9453
2025-11-28,89797.9453
2025-12-01,89797.9453
2025-12-02,89797.9453
2025-12-03,89797.9453
2025-12-04,89797.9453
2025-12-05,89797.9453
2025-12-08,89797.9453
2025-12-09,89797.9453
2025-12-10,89797.9453
